replication,delta_E
696,-0.25401162329205773
697,-0.12617729297552446
698,-0.06224003324101865
699,-0.1629477214329539
700,-0.3228748728138664
701,-0.30121092826694307
702,-0.458883532063935
703,-0.3575065141396514
704,-0.28241941125013165
705,-0.4908439270712949
706,-0.33147914933917066
707,-0.17436558356058293
708,-0.3488187349615415
709,-0.20127312155544108
710,-0.14609198200351814
711,-0.3172378208034297
712,-0.08767217973231019
713,-0.1515947708876548
714,-0.37649741443127643
715,-0.07511949675959216
716,-0.0835522790424954
717,-0.2064059896817762
718,-0.2266897102434769
719,-0.08991151605121585
720,0.1121867443532043
721,-0.3587347139841985
722,-0.28417573868708806
723,-0.12278987899022889
724,-0.1263574924122036
725,-0.22414205218253008
726,-0.36333764664263796
727,-0.5238632420651823
728,-0.41382497016809977
729,-0.08605074435783369
730,-0.2252606427017106
731,-0.33956520896449305
732,-0.4839587106515593
733,-0.12152043637482499
734,-0.37096932495370527
735,-0.19322296556991359
736,-0.38933998113171714
737,-0.1400172331008109
738,-0.24849215271370384
739,-0.2747729089216952
740,-0.18657743811803945
741,-0.40476494046860373
742,-0.2761474721124805
743,-0.26305533960491073
744,-0.19814098242862108
745,-0.05185262817282645
746,-0.2656413495987999
747,-0.1939928839594683
748,-0.15267950396684085
749,-0.19067938699511142
750,-0.40788865428202664
751,-0.26148481083040076
752,-0.3005053019147601
753,-0.11709763365118762
754,-0.1526143361921042
755,-0.26228609759262483
756,-0.13940748231586667
757,-0.20656164812003797
758,-0.37241017859842024
759,-0.19203472311069716
760,-0.22037053713232116
761,-0.189600219634206
762,-0.3764554297514105
763,-0.196967274869687
764,-0.39105272608247155
765,-0.6251282598243278
766,-0.04159199983309498
767,-0.12448725668279628
768,0.01599692906831503
769,-0.15723643121751904
770,-0.2566617428918006
771,-0.26198905201735134
772,-0.2437512115028241
773,-0.13210787633182086
774,0.06886131269087294
775,-0.3355951789416266
776,-0.30942350706091326
777,-0.14702603749572477
778,0.009732175842767036
779,-0.04069477324736596
780,0.025872721320541886
781,-0.1677036704938656
782,-0.14033649796411035
783,-0.18549327421363904
784,-0.1207662561894207
785,-0.18816229446876964
786,-0.29989017252324357
787,-0.320714548694381
788,-0.20111717863036202
789,-0.2327951609664574
790,-0.1240546634418647
791,-0.3417862293049359
792,-0.2618010243200682
793,-0.3357367663053007
794,-0.1188891070675306
795,-0.24926535384786425
796,-0.273607419512367
797,-0.27016317107711135
798,-0.3717761457158204
799,-0.24898982006317882
800,-0.1530106681055379
801,-0.25841846220786086
802,-0.28976348762734266
803,-0.241901555555994
804,-0.24580050543469786
805,-0.2642280458640939
806,0.02534619339712825
807,-0.44528246733894233
808,-0.37266522621510234
809,-0.10644255094089972
810,-0.09767169006470788
811,-0.292053386216793
812,-0.147376124790477
813,-0.14933777062437517
814,-0.4442078385428286
815,-0.3525565923289747
816,-0.3190067342021626
817,-0.13259569343682756
818,-0.05864268396361279
819,-0.2842973566912041
820,-0.34775302649966466
821,-0.09575110403995243
822,-0.36362125556793246
823,-0.36610298101522276
824,-0.26090227020754797
825,-0.15036078826661692
826,-0.30408311216473966
827,-0.012613767316347895
828,-0.2690464299582697
829,-0.14472602101325724
830,-0.2036203523625645
831,-0.1958832388792903
832,-0.3099234378184817
833,-0.32458294925138015
834,0.029382077770952163
835,-0.1881865611310698
836,-0.1972634118344212
837,-0.2551535317856514
838,-0.20804969803455156
839,-0.08339252509418825
840,-0.24987272347892645
841,-0.4915365783886727
842,-0.049269801769126625
843,-0.4175975665609668
844,-0.2416057318601759
845,0.0674141540033232
846,-0.25385097789538374
847,-0.22570332519332204
848,-0.10972080112014904
849,-0.14637018881342773
850,-0.1591757457959907
851,-0.1680429753184085
852,-0.3088688160389277
853,0.016483224073653293
854,-0.4016614205466843
